Country,year,month,value
Algeria,2013,September,85836.17455
Algeria,2013,October,82274.35919
Algeria,2013,November,76125.75693
Algeria,2013,December,79085.50339
American Samoa,2014,January,94
American Samoa,2014,February,99
American Samoa,2014,March,96
American Samoa,2014,April,91
American Samoa,2014,May,98
American Samoa,2014,June,93
American Samoa,2014,July,92
American Samoa,2014,August,80
American Samoa,2014,September,97
American Samoa,2014,October,88
American Samoa,2014,November,87
American Samoa,2014,December,69
American Samoa,2013,January,105
American Samoa,2013,February,97
American Samoa,2013,March,98
American Samoa,2013,April,102
American Samoa,2013,May,102
American Samoa,2013,June,97
American Samoa,2013,July,96
American Samoa,2013,August,91
American Samoa,2013,September,106
American Samoa,2013,October,94
American Samoa,2013,November,87
American Samoa,2013,December,86
Anguilla,2015,January,11
Anguilla,2015,February,12
Anguilla,2015,March,10
Anguilla,2015,April,9
Anguilla,2015,May,15
Anguilla,2015,June,12
Anguilla,2015,July,15
Anguilla,2015,August,17
Anguilla,2015,September,13
Anguilla,2015,October,18
Anguilla,2015,November,17
Anguilla,2015,December,16
Anguilla,2014,January,8
Anguilla,2014,February,7
Anguilla,2014,March,16
Anguilla,2014,April,15
Anguilla,2014,May,15
Anguilla,2014,June,10
Anguilla,2014,July,11
Anguilla,2014,August,4
Anguilla,2014,September,13
Anguilla,2014,October,13
Anguilla,2014,November,23
Anguilla,2014,December,14
Anguilla,2013,January,13
Anguilla,2013,February,10
Anguilla,2013,March,14
Anguilla,2013,April,17
Anguilla,2013,May,12
Anguilla,2013,June,9
Anguilla,2013,July,12
Anguilla,2013,August,17
Anguilla,2013,September,20
Anguilla,2013,October,10
Anguilla,2013,November,16
Anguilla,2013,December,15
Armenia,2014,January,3597
Armenia,2014,February,2842
Armenia,2014,March,3102
Armenia,2014,April,2939
Armenia,2014,May,3380
Armenia,2014,June,3328
Armenia,2014,July,3834
Armenia,2014,August,4148
Armenia,2014,September,4394
Armenia,2014,October,4205
Armenia,2014,November,3642
Armenia,2014,December,3620
Aruba,2015,January,111
Aruba,2015,February,96
Aruba,2015,March,108
Aruba,2015,April,109
Aruba,2015,May,88
Aruba,2015,June,82
Aruba,2015,July,95
Aruba,2015,August,98
Aruba,2015,September,110
Aruba,2015,October,123
Aruba,2015,November,97
Aruba,2015,December,127
Aruba,2014,January,119
Aruba,2014,February,112
Aruba,2014,March,100
Aruba,2014,April,130
Aruba,2014,May,115
Aruba,2014,June,110
Aruba,2014,July,98
Aruba,2014,August,113
Aruba,2014,September,130
Aruba,2014,October,107
Aruba,2014,November,115
Aruba,2014,December,127
Aruba,2013,January,114
Aruba,2013,February,106
Aruba,2013,March,83
Aruba,2013,April,116
Aruba,2013,May,95
Aruba,2013,June,93
Aruba,2013,July,130
Aruba,2013,August,102
Aruba,2013,September,106
Aruba,2013,October,132
Aruba,2013,November,116
Aruba,2013,December,153
Australia,2014,January,24735
Australia,2014,February,24136
Australia,2014,March,25692
Australia,2014,April,24808
Australia,2014,May,25034
Australia,2014,June,24034
Australia,2014,July,25102
Australia,2014,August,24071
Australia,2014,September,24368
Australia,2014,October,22341
Australia,2014,November,12672
Australia,2014,December,3297
Australia,2013,January,25669
Australia,2013,January,25504
Australia,2013,February,23698
Australia,2013,February,23528
Australia,2013,March,25965
Australia,2013,March,25737
Australia,2013,April,24684
Australia,2013,April,24457
Australia,2013,May,26022
Australia,2013,May,25777
Australia,2013,June,24575
Australia,2013,June,24302
Australia,2013,July,25200
Australia,2013,July,24842
Australia,2013,August,24964
Australia,2013,August,24513
Australia,2013,September,25038
Australia,2013,September,24366
Australia,2013,October,25294
Australia,2013,October,23599
Australia,2013,November,23932
Australia,2013,November,17359
Australia,2013,December,24220
Australia,2013,December,3916
Austria,2015,January,6985
Austria,2015,February,6281
Austria,2015,March,6886
Austria,2015,April,6784
Austria,2015,May,7118
Austria,2015,June,7120
Austria,2015,July,7414
Austria,2015,August,7583
Austria,2015,September,7439
Austria,2015,October,7271
Austria,2015,November,6702
Austria,2015,December,6798
Austria,2014,January,6666
Austria,2014,February,6063
Austria,2014,March,6513
Austria,2014,April,6470
Austria,2014,May,6863
Austria,2014,June,6825
Austria,2014,July,7542
Austria,2014,August,7272
Austria,2014,September,7340
Austria,2014,October,7097
Austria,2014,November,6418
Austria,2014,December,6653
Austria,2013,January,6629
Austria,2013,February,5845
Austria,2013,March,6474
Austria,2013,April,6010
Austria,2013,May,6615
Austria,2013,June,6499
Austria,2013,July,7197
Austria,2013,August,7020
Austria,2013,September,7173
Austria,2013,October,6989
Austria,2013,November,6382
Austria,2013,December,6497
Azerbaijan,2014,January,13993
Azerbaijan,2014,February,13992
Azerbaijan,2014,March,10226
Azerbaijan,2014,April,15419
Azerbaijan,2014,May,13624
Azerbaijan,2014,June,12354
Azerbaijan,2014,July,15745
Azerbaijan,2014,August,16617
Azerbaijan,2014,September,16177
Azerbaijan,2014,October,14483
Azerbaijan,2014,November,13538
Azerbaijan,2014,December,14335
Azerbaijan,2013,January,13258
Azerbaijan,2013,February,14042
Azerbaijan,2013,March,14054
Azerbaijan,2013,April,13181
Azerbaijan,2013,May,14169
Azerbaijan,2013,June,13519
Azerbaijan,2013,July,12065
Azerbaijan,2013,August,15868
Azerbaijan,2013,September,14704
Azerbaijan,2013,October,15889
Azerbaijan,2013,November,16680
Azerbaijan,2013,December,15242
Bahrain,2014,January,1776
Bahrain,2014,February,1463
Bahrain,2014,March,1658
Bahrain,2014,April,1534
Bahrain,2014,May,1732
Bahrain,2014,June,1694
Bahrain,2014,July,1858
Bahrain,2014,August,1802
Bahrain,2014,September,1750
Bahrain,2014,October,1986
Bahrain,2014,November,1873
Bahrain,2014,December,1805
Bahrain,2013,January,1688
Bahrain,2013,February,1376
Bahrain,2013,March,1543
Bahrain,2013,April,1422
Bahrain,2013,May,1600
Bahrain,2013,June,1658
Bahrain,2013,July,1753
Bahrain,2013,August,1731
Bahrain,2013,September,1714
Bahrain,2013,October,1891
Bahrain,2013,November,1808
Bahrain,2013,December,1811
Belarus,2015,January,9836
Belarus,2015,February,8828
Belarus,2015,March,9147
Belarus,2015,April,9344
Belarus,2015,May,10108
Belarus,2015,July,11214
Belarus,2015,August,10482
Belarus,2015,September,10735
Belarus,2015,October,10384
Belarus,2015,November,9608
Belarus,2015,December,10538
Belarus,2014,January,10143
Belarus,2014,February,8715
Belarus,2014,March,9463
Belarus,2014,April,9711
Belarus,2014,May,10081
Belarus,2014,June,10253
Belarus,2014,July,11238
Belarus,2014,August,10276
Belarus,2014,September,10183
Belarus,2014,October,10005
Belarus,2014,November,9079
Belarus,2014,December,9387
Belarus,2013,January,10234
Belarus,2013,February,8727
Belarus,2013,March,9180
Belarus,2013,April,9088
Belarus,2013,May,9635
Belarus,2013,June,10021
Belarus,2013,July,10985
Belarus,2013,August,10864
Belarus,2013,September,10559
Belarus,2013,October,10053
Belarus,2013,November,9392
Belarus,2013,December,9259
Belgium,2014,January,10850
Belgium,2014,February,9739
Belgium,2014,March,10237
Belgium,2014,April,10159
Belgium,2014,May,10417
Belgium,2014,June,10651
Belgium,2014,July,11287
Belgium,2014,August,10762
Belgium,2014,September,10775
Belgium,2014,October,10493
Belgium,2014,November,9648
Belgium,2014,December,9996
Belgium,2013,January,10732
Belgium,2013,February,9544
Belgium,2013,March,10409
Belgium,2013,April,10176
Belgium,2013,May,10645
Belgium,2013,June,10462
Belgium,2013,July,11427
Belgium,2013,August,10956
Belgium,2013,September,10620
Belgium,2013,October,10523
Belgium,2013,November,9800
Belgium,2013,December,10312
Bermuda,2015,January,45
Bermuda,2015,February,43
Bermuda,2015,March,55
Bermuda,2015,April,36
Bermuda,2015,May,48
Bermuda,2015,June,38
Bermuda,2015,July,68
Bermuda,2015,August,47
Bermuda,2015,September,50
Bermuda,2015,October,45
Bermuda,2015,November,54
Bermuda,2015,December,54
Bermuda,2014,January,48
Bermuda,2014,February,43
Bermuda,2014,March,44
Bermuda,2014,April,52
Bermuda,2014,May,37
Bermuda,2014,June,47
Bermuda,2014,July,47
Bermuda,2014,August,56
Bermuda,2014,September,55
Bermuda,2014,October,51
Bermuda,2014,November,60
Bermuda,2014,December,34
Bermuda,2013,January,58
Bermuda,2013,February,54
Bermuda,2013,March,47
Bermuda,2013,April,56
Bermuda,2013,May,45
Bermuda,2013,June,47
Bermuda,2013,July,55
Bermuda,2013,August,57
Bermuda,2013,September,71
Bermuda,2013,October,57
Bermuda,2013,November,52
Bermuda,2013,December,47
British Virgin Islands,2015,January,18
British Virgin Islands,2015,February,11
British Virgin Islands,2015,March,20
British Virgin Islands,2015,April,24
British Virgin Islands,2015,May,23
British Virgin Islands,2015,June,16
British Virgin Islands,2015,July,23
British Virgin Islands,2015,August,26
British Virgin Islands,2015,September,33
British Virgin Islands,2015,October,28
British Virgin Islands,2015,November,23
British Virgin Islands,2015,December,21
British Virgin Islands,2014,January,25
British Virgin Islands,2014,February,21
British Virgin Islands,2014,March,20
British Virgin Islands,2014,April,14
British Virgin Islands,2014,May,26
British Virgin Islands,2014,June,19
British Virgin Islands,2014,July,28
British Virgin Islands,2014,August,25
British Virgin Islands,2014,September,33
British Virgin Islands,2014,October,24
British Virgin Islands,2014,November,16
British Virgin Islands,2014,December,29
British Virgin Islands,2013,January,28
British Virgin Islands,2013,February,20
British Virgin Islands,2013,March,15
British Virgin Islands,2013,April,29
British Virgin Islands,2013,May,23
British Virgin Islands,2013,June,19
British Virgin Islands,2013,July,17
British Virgin Islands,2013,August,26
British Virgin Islands,2013,September,27
British Virgin Islands,2013,October,27
British Virgin Islands,2013,November,18
British Virgin Islands,2013,December,28
Brunei Darussalam,2014,January,594
Brunei Darussalam,2014,February,481
Brunei Darussalam,2014,March,571
Brunei Darussalam,2014,April,560
Brunei Darussalam,2014,May,563
Brunei Darussalam,2014,June,583
Brunei Darussalam,2014,July,517
Brunei Darussalam,2014,August,589
Brunei Darussalam,2014,September,608
Brunei Darussalam,2014,October,592
Brunei Darussalam,2014,November,594
Brunei Darussalam,2014,December,639
Brunei Darussalam,2013,January,598
Brunei Darussalam,2013,February,536
Brunei Darussalam,2013,March,584
Brunei Darussalam,2013,April,531
Brunei Darussalam,2013,May,537
Brunei Darussalam,2013,June,575
Brunei Darussalam,2013,July,565
Brunei Darussalam,2013,August,562
Brunei Darussalam,2013,September,559
Brunei Darussalam,2013,October,564
Brunei Darussalam,2013,November,531
Brunei Darussalam,2013,December,538
Bulgaria,2015,January,5925
Bulgaria,2015,February,5162
Bulgaria,2015,March,5540
Bulgaria,2015,April,5373
Bulgaria,2015,May,5334
Bulgaria,2015,June,5679
Bulgaria,2015,July,6160
Bulgaria,2015,August,5601
Bulgaria,2015,September,5805
Bulgaria,2015,October,5406
Bulgaria,2015,November,4956
Bulgaria,2015,December,5009
Bulgaria,2014,January,5886
Bulgaria,2014,February,5245
Bulgaria,2014,March,5757
Bulgaria,2014,April,5615
Bulgaria,2014,May,5592
Bulgaria,2014,June,5806
Bulgaria,2014,July,6183
Bulgaria,2014,August,5900
Bulgaria,2014,September,5913
Bulgaria,2014,October,5550
Bulgaria,2014,November,4883
Bulgaria,2014,December,5255
Bulgaria,2013,January,5624
Bulgaria,2013,February,4890
Bulgaria,2013,March,5312
Bulgaria,2013,April,5165
Bulgaria,2013,May,5369
Bulgaria,2013,June,5599
Bulgaria,2013,July,6150
Bulgaria,2013,August,6027
Bulgaria,2013,September,6061
Bulgaria,2013,October,5832
Bulgaria,2013,November,5227
Bulgaria,2013,December,5322
Cayman Islands,2015,January,56
Cayman Islands,2015,February,42
Cayman Islands,2015,March,58
Cayman Islands,2015,April,49
Cayman Islands,2015,May,62
Cayman Islands,2015,June,44
Cayman Islands,2015,July,44
Cayman Islands,2015,August,67
Cayman Islands,2015,September,60
Cayman Islands,2015,October,59
Cayman Islands,2015,November,53
Cayman Islands,2015,December,55
Cayman Islands,2014,January,57
Cayman Islands,2014,February,57
Cayman Islands,2014,March,54
Cayman Islands,2014,April,53
Cayman Islands,2014,May,45
Cayman Islands,2014,June,51
Cayman Islands,2014,July,57
Cayman Islands,2014,August,59
Cayman Islands,2014,September,67
Cayman Islands,2014,October,76
Cayman Islands,2014,November,63
Cayman Islands,2014,December,72
Cayman Islands,2013,January,78
Cayman Islands,2013,February,64
Cayman Islands,2013,March,57
Cayman Islands,2013,April,54
Cayman Islands,2013,May,49
Cayman Islands,2013,June,44
Cayman Islands,2013,July,53
Cayman Islands,2013,August,67
Cayman Islands,2013,September,60
Cayman Islands,2013,October,65
Cayman Islands,2013,November,55
Cayman Islands,2013,December,59
Chile,2014,January,22023
Chile,2014,February,19139
Chile,2014,March,21535
Chile,2014,April,20922
Chile,2014,May,20852
Chile,2014,June,20610
Chile,2014,July,21333
Chile,2014,August,20518
Chile,2014,September,21230
Chile,2014,October,21476
Chile,2014,November,20097
Chile,2014,December,21262
Chile,2013,January,21302
Chile,2013,February,18755
Chile,2013,March,20586
Chile,2013,April,20375
Chile,2013,May,20301
Chile,2013,June,19753
Chile,2013,July,20267
Chile,2013,August,19799
Chile,2013,September,20420
Chile,2013,October,20444
Chile,2013,November,19422
Chile,2013,December,20581
Hong Kong SAR,2015,January,5600
Hong Kong SAR,2015,February,4600
Hong Kong SAR,2015,March,4800
Hong Kong SAR,2015,April,4700
Hong Kong SAR,2015,May,4900
Hong Kong SAR,2015,June,4600
Hong Kong SAR,2015,July,4800
Hong Kong SAR,2015,August,4900
Hong Kong SAR,2015,September,5200
Hong Kong SAR,2015,October,5300
Hong Kong SAR,2015,November,5200
Hong Kong SAR,2015,December,5200
Hong Kong SAR,2014,January,4937
Hong Kong SAR,2014,February,4604
Hong Kong SAR,2014,March,4839
Hong Kong SAR,2014,April,4823
Hong Kong SAR,2014,May,4920
Hong Kong SAR,2014,June,4917
Hong Kong SAR,2014,July,5057
Hong Kong SAR,2014,August,5209
Hong Kong SAR,2014,September,5651
Hong Kong SAR,2014,October,6065
Hong Kong SAR,2014,November,5606
Hong Kong SAR,2014,December,5677
Hong Kong SAR,2013,January,5346
Hong Kong SAR,2013,February,4139
Hong Kong SAR,2013,March,4578
Hong Kong SAR,2013,April,4346
Hong Kong SAR,2013,May,4480
Hong Kong SAR,2013,June,4404
Hong Kong SAR,2013,July,4662
Hong Kong SAR,2013,August,5017
Hong Kong SAR,2013,September,4966
Hong Kong SAR,2013,October,5147
Hong Kong SAR,2013,November,4991
Hong Kong SAR,2013,December,5008
Macao SAR,2015,January,632
Macao SAR,2015,February,529
Macao SAR,2015,March,551
Macao SAR,2015,April,536
Macao SAR,2015,May,588
Macao SAR,2015,June,538
Macao SAR,2015,July,585
Macao SAR,2015,August,596
Macao SAR,2015,September,638
Macao SAR,2015,October,657
Macao SAR,2015,November,631
Macao SAR,2015,December,574
Macao SAR,2014,January,557
Macao SAR,2014,February,525
Macao SAR,2014,March,555
Macao SAR,2014,April,524
Macao SAR,2014,May,560
Macao SAR,2014,June,582
Macao SAR,2014,July,645
Macao SAR,2014,August,652
Macao SAR,2014,September,674
Macao SAR,2014,October,712
Macao SAR,2014,November,729
Macao SAR,2014,December,645
Macao SAR,2013,January,585
Macao SAR,2013,February,474
Macao SAR,2013,March,550
Macao SAR,2013,April,453
Macao SAR,2013,May,548
Macao SAR,2013,June,523
Macao SAR,2013,July,519
Macao SAR,2013,August,594
Macao SAR,2013,September,569
Macao SAR,2013,October,582
Macao SAR,2013,November,582
Macao SAR,2013,December,592
Costa Rica,2015,January,5825
Costa Rica,2015,February,5194
Costa Rica,2015,March,5864
Costa Rica,2015,April,5543
Costa Rica,2015,May,5746
Costa Rica,2015,June,5794
Costa Rica,2015,July,5935
Costa Rica,2015,August,6056
Costa Rica,2015,September,6632
Costa Rica,2015,October,6499
Costa Rica,2015,November,6274
Costa Rica,2015,December,6457
Costa Rica,2014,January,5901
Costa Rica,2014,February,5256
Costa Rica,2014,March,5877
Costa Rica,2014,April,5733
Costa Rica,2014,May,5990
Costa Rica,2014,June,5596
Costa Rica,2014,July,5932
Costa Rica,2014,August,6140
Costa Rica,2014,September,6313
Costa Rica,2014,October,6596
Costa Rica,2014,November,6242
Costa Rica,2014,December,6217
Costa Rica,2013,January,6116
Costa Rica,2013,February,5217
Costa Rica,2013,March,5512
Costa Rica,2013,April,5745
Costa Rica,2013,May,5698
Costa Rica,2013,June,5573
Costa Rica,2013,July,5863
Costa Rica,2013,August,6243
Costa Rica,2013,September,6256
Costa Rica,2013,October,6244
Costa Rica,2013,November,6015
Costa Rica,2013,December,6068
Croatia,2014,January,3380
Croatia,2014,February,3050
Croatia,2014,March,3212
Croatia,2014,April,3019
Croatia,2014,May,3104
Croatia,2014,June,3357
Croatia,2014,July,3586
Croatia,2014,August,3345
Croatia,2014,September,3715
Croatia,2014,October,3444
Croatia,2014,November,3095
Croatia,2014,December,3259
Croatia,2013,January,3544
Croatia,2013,February,3016
Croatia,2013,March,3322
Croatia,2013,April,2922
Croatia,2013,May,3137
Croatia,2013,June,3179
Croatia,2013,July,3625
Croatia,2013,August,3403
Croatia,2013,September,3702
Croatia,2013,October,3580
Croatia,2013,November,3245
Croatia,2013,December,3264
Cuba,2014,January,10693
Cuba,2014,February,9216
Cuba,2014,March,9119
Cuba,2014,April,8659
Cuba,2014,May,8914
Cuba,2014,June,8828
Cuba,2014,July,9670
Cuba,2014,August,10749
Cuba,2014,September,11892
Cuba,2014,October,11962
Cuba,2014,November,11373
Cuba,2014,December,11568
Cuba,2013,January,10801
Cuba,2013,February,9239
Cuba,2013,March,8706
Cuba,2013,April,8573
Cuba,2013,May,8523
Cuba,2013,June,8591
Cuba,2013,July,9852
Cuba,2013,August,12596
Cuba,2013,September,12433
Cuba,2013,October,12852
Cuba,2013,November,11880
Cuba,2013,December,11834
Cura̤ao,2015,January,174
Cura̤ao,2015,February,149
Cura̤ao,2015,March,157
Cura̤ao,2015,April,147
Cura̤ao,2015,May,144
Cura̤ao,2015,June,145
Cura̤ao,2015,July,127
Cura̤ao,2015,August,136
Cura̤ao,2015,September,156
Cura̤ao,2015,October,179
Cura̤ao,2015,November,167
Cura̤ao,2015,December,193
Cura̤ao,2014,January,170
Cura̤ao,2014,February,130
Cura̤ao,2014,March,168
Cura̤ao,2014,April,135
Cura̤ao,2014,May,147
Cura̤ao,2014,June,155
Cura̤ao,2014,July,145
Cura̤ao,2014,August,168
Cura̤ao,2014,September,194
Cura̤ao,2014,October,190
Cura̤ao,2014,November,178
Cura̤ao,2014,December,183
Cura̤ao,2013,January,170
Cura̤ao,2013,February,146
Cura̤ao,2013,March,149
Cura̤ao,2013,April,150
Cura̤ao,2013,May,173
Cura̤ao,2013,June,127
Cura̤ao,2013,July,149
Cura̤ao,2013,August,148
Cura̤ao,2013,September,174
Cura̤ao,2013,October,184
Cura̤ao,2013,November,237
Cura̤ao,2013,December,155
Cyprus,2014,January,765
Cyprus,2014,February,612
Cyprus,2014,March,700
Cyprus,2014,April,683
Cyprus,2014,May,729
Cyprus,2014,June,723
Cyprus,2014,July,855
Cyprus,2014,August,812
Cyprus,2014,September,938
Cyprus,2014,October,867
Cyprus,2014,November,784
Cyprus,2014,December,790
Cyprus,2013,January,804
Cyprus,2013,February,718
Cyprus,2013,March,723
Cyprus,2013,April,709
Cyprus,2013,May,739
Cyprus,2013,June,735
Cyprus,2013,July,842
Cyprus,2013,August,824
Cyprus,2013,September,876
Cyprus,2013,October,851
Cyprus,2013,November,758
Cyprus,2013,December,762
Czechia,2015,January,9439
Czechia,2015,February,8203
Czechia,2015,March,9152
Czechia,2015,April,9120
Czechia,2015,May,9272
Czechia,2015,June,9768
Czechia,2015,July,10120
Czechia,2015,August,9645
Czechia,2015,September,9535
Czechia,2015,October,9110
Czechia,2015,November,8355
Czechia,2015,December,9045
Czechia,2014,January,9043
Czechia,2014,February,8132
Czechia,2014,March,9135
Czechia,2014,April,8968
Czechia,2014,May,9116
Czechia,2014,June,9677
Czechia,2014,July,10318
Czechia,2014,August,9474
Czechia,2014,September,9738
Czechia,2014,October,9065
Czechia,2014,November,8350
Czechia,2014,December,8844
Czechia,2013,January,8937
Czechia,2013,February,7872
Czechia,2013,March,8865
Czechia,2013,April,8462
Czechia,2013,May,9261
Czechia,2013,June,9064
Czechia,2013,July,10053
Czechia,2013,August,9491
Czechia,2013,September,9242
Czechia,2013,October,8796
Czechia,2013,November,8310
Czechia,2013,December,8398
Denmark,2014,January,4735
Denmark,2014,February,4239
Denmark,2014,March,4551
Denmark,2014,April,4614
Denmark,2014,May,4683
Denmark,2014,June,4849
Denmark,2014,July,5295
Denmark,2014,August,5072
Denmark,2014,September,4957
Denmark,2014,October,4914
Denmark,2014,November,4578
Denmark,2014,December,4383
Denmark,2013,January,4575
Denmark,2013,February,4292
Denmark,2013,March,4711
Denmark,2013,April,4594
Denmark,2013,May,4859
Denmark,2013,June,4747
Denmark,2013,July,5159
Denmark,2013,August,4974
Denmark,2013,September,4673
Denmark,2013,October,4613
Denmark,2013,November,4308
Denmark,2013,December,4368
Egypt,2015,January,242767
Egypt,2015,February,200651
Egypt,2015,March,219109
Egypt,2015,April,187895
Egypt,2015,May,210263
Egypt,2015,June,212799
Egypt,2015,July,251455
Egypt,2015,August,269130
Egypt,2015,September,232003
Egypt,2015,October,235768
Egypt,2015,November,220705
Egypt,2015,December,213686
Egypt,2014,January,239622
Egypt,2014,January,235860
Egypt,2014,February,200398
Egypt,2014,March,226463
Egypt,2014,April,201982
Egypt,2014,May,207741
Egypt,2014,June,222440
Egypt,2014,July,234678
Egypt,2014,August,275761
Egypt,2014,August,274445
Egypt,2014,September,250135
Egypt,2014,September,236143
Egypt,2014,October,220003
Egypt,2014,October,208391
Egypt,2014,November,229443
Egypt,2014,November,229462
Egypt,2014,December,211829
Egypt,2014,December,211783
Egypt,2013,January,236989
Egypt,2013,February,196326
Egypt,2013,March,208466
Egypt,2013,April,176491
Egypt,2013,May,182893
Egypt,2013,June,216075
Egypt,2013,July,245813
Egypt,2013,August,245358
Egypt,2013,September,245855
Egypt,2013,October,238915
Egypt,2013,November,221477
Egypt,2013,December,207244
Estonia,2015,January,1075
Estonia,2015,February,1029
Estonia,2015,March,1139
Estonia,2015,April,1140
Estonia,2015,May,1119
Estonia,2015,June,1261
Estonia,2015,July,1370
Estonia,2015,September,1307
Estonia,2015,October,1153
Estonia,2015,November,1102
Estonia,2015,December,1096
Estonia,2014,January,1087
Estonia,2014,February,994
Estonia,2014,March,1028
Estonia,2014,April,1147
Estonia,2014,May,1168
Estonia,2014,June,1242
Estonia,2014,July,1334
Estonia,2014,August,1223
Estonia,2014,September,1244
Estonia,2014,October,1092
Estonia,2014,November,966
Estonia,2014,December,1026
Estonia,2013,January,1095
Estonia,2013,February,1037
Estonia,2013,March,1130
Estonia,2013,April,1145
Estonia,2013,May,1162
Estonia,2013,June,1158
Estonia,2013,July,1215
Estonia,2013,August,1230
Estonia,2013,September,1198
Estonia,2013,October,1101
Estonia,2013,November,990
Estonia,2013,December,1070
Faeroe Islands,2015,January,42
Faeroe Islands,2015,February,44
Faeroe Islands,2015,March,59
Faeroe Islands,2015,April,48
Faeroe Islands,2015,May,44
Faeroe Islands,2015,June,55
Faeroe Islands,2015,July,61
Faeroe Islands,2015,August,48
Faeroe Islands,2015,September,52
Faeroe Islands,2015,October,54
Faeroe Islands,2015,November,49
Faeroe Islands,2015,December,52
Faeroe Islands,2014,January,67
Faeroe Islands,2014,February,52
Faeroe Islands,2014,March,43
Faeroe Islands,2014,April,44
Faeroe Islands,2014,May,47
Faeroe Islands,2014,June,49
Faeroe Islands,2014,July,66
Faeroe Islands,2014,August,59
Faeroe Islands,2014,September,42
Faeroe Islands,2014,October,62
Faeroe Islands,2014,November,49
Faeroe Islands,2014,December,59
Faeroe Islands,2013,January,50
Faeroe Islands,2013,February,49
Faeroe Islands,2013,March,48
Faeroe Islands,2013,April,48
Faeroe Islands,2013,May,53
Faeroe Islands,2013,June,56
Faeroe Islands,2013,July,53
Faeroe Islands,2013,August,60
Faeroe Islands,2013,September,55
Faeroe Islands,2013,October,61
Faeroe Islands,2013,November,36
Faeroe Islands,2013,December,57
Finland,2013,January,4837
Finland,2013,February,4463
Finland,2013,March,4970
Finland,2013,April,4840
Finland,2013,May,5014
Finland,2013,June,4866
Finland,2013,July,5247
Finland,2013,August,5134
Finland,2013,September,5025
Finland,2013,October,4987
Finland,2013,November,4400
Finland,2013,December,4351
France,2015,January,64600
France,2015,February,57500
France,2015,March,61100
France,2015,April,59700
France,2015,May,64200
France,2015,June,64000
France,2015,July,66700
France,2015,August,65800
France,2015,September,65500
France,2015,October,65900
France,2015,November,62500
France,2015,December,64500
France,2014,January,67000
France,2014,February,60400
France,2014,March,65000
France,2014,April,60700
France,2014,May,64500
France,2014,June,65000
France,2014,July,68500
France,2014,August,66800
France,2014,September,67400
France,2014,October,67700
France,2014,November,64500
France,2014,December,48900
France,2013,January,65700
France,2013,February,58500
France,2013,March,62700
France,2013,April,61100
France,2013,May,65200
France,2013,June,63700
France,2013,July,70100
France,2013,August,68500
France,2013,September,66900
France,2013,October,68000
France,2013,November,63900
France,2013,December,65700
Georgia,2014,January,5060
Georgia,2014,February,4353
Georgia,2014,March,4807
Georgia,2014,April,4694
Georgia,2014,May,4978
Georgia,2014,June,5067
Georgia,2014,July,5754
Georgia,2014,August,5607
Georgia,2014,September,5329
Georgia,2014,October,5581
Georgia,2014,November,4830
Georgia,2014,December,4575
Georgia,2013,January,4803
Georgia,2013,February,4331
Georgia,2013,March,4380
